architecture_chip,architecture_generation,architecture_measurement_note,bench_build_git_commit,bench_json,benchmark_uses_wgmma,blocks,blocks_per_sm_requested,cache_policy,compute_capability,condition,cuda_device_index,cuda_elapsed_ms,cuda_visible_devices,device_index,device_name,driver_version,estimated_memory_gbps,estimated_tflops,fp16_ops_estimate,fp16_path,fp16_tensor_instruction_path,gpu_product_class,gpu_uuid,host_end_unix_ns,host_start_unix_ns,iters,kernel,l2_cache_bytes,mem_mib,mem_stride,memory_bytes_estimate,nvidia_smi_dmon_id,nvidia_smi_id,nvidia_smi_index,nvidia_smi_name,nvml_energy_delta_j,nvml_energy_end_mj,nvml_energy_note,nvml_energy_start_mj,nvml_energy_supported,power_csv,power_logger_errors,recommended_cuda_arch,regs_per_block,repeat_index,repeats,role,run_id,runner_wall_end_unix_ns,runner_wall_start_unix_ns,schema_features,schema_version,shared_mem_per_block,sm_count,sm_util_csv,sm_util_logger_errors,suppress_output_store,threads,unroll,validity_note,warmup,wgmma_supported,benchmark_schema_version,benchmark_schema_features,power_energy_j,avg_power_w,energy_source,power_trace_energy_j,power_trace_avg_power_w,power_trace_query_modes,avg_power_draw_w,avg_power_draw_average_w,avg_power_draw_instant_w,avg_power_limit_w,nvml_energy_counter_supported,energy_counter_vs_trace_delta_j,energy_counter_vs_trace_ratio,power_sample_count,sm_util_sample_count,avg_sm_clock_mhz,min_sm_clock_mhz,max_sm_clock_mhz,avg_temp_c,max_temp_c,avg_gpu_util_pct,max_gpu_util_pct,avg_sm_util_pct,max_sm_util_pct,mma_accumulator_bits_per_logical_mma,mma_arithmetic_read_bits_per_logical_mma,mma_flops_per_logical_mma,mma_input_bits_per_logical_mma,mma_instructions_per_logical_mma,mma_k,mma_logical_count_estimate,mma_logical_shape,mma_m,mma_n,mma_output_bits_per_logical_mma,mma_register_read_write_bits_per_logical_mma
ga102,ampere,"RTX 3090/GA102 path uses warp-level HMMA m16n8k16 pairs; board-level power and boost behavior are more variable than datacenter GPUs, so clock stability and no-L2 validation must be checked before using the pJ/bit estimate",5cb1f26c5c1f,results/fp16_launch_shape_warpsync_rtx3090_20260602_direct/raw/launch_shape_tensor_mma_f16acc_t032_b01_rep000_baseline_1780341022200281635/bench.json,False,82,1,none,8.6,launch_shape_tensor_mma_f16acc_t032_b01,0,1328.28369141,,0,NVIDIA GeForce RTX 3090,591.86,0,0,0,baseline_or_memory,benchmark uses warp-level HMMA mma.sync m16n8k16 pairs,consumer,GPU-6176a2fd-d534-e78c-edd2-78b8db8109b0,1780341034177495429,1780341032822899689,5000000,tensor_baseline_mov,6291456,256,1,0,0,GPU-6176a2fd-d534-e78c-edd2-78b8db8109b0,0,NVIDIA GeForce RTX 3090,197.888,4049430245,nvmlDeviceGetTotalEnergyConsumption available via CUDA PCI bus id 0000:01:00.0,4049232357,True,,['telemetry_not_collected: this WSL session blocks background GPU telemetry; NVML total energy counter is used'],86,65536,0,8,baseline,launch_shape_tensor_mma_f16acc_t032_b01_rep000_baseline_1780341022200281635,1780341034177495429,1780341032822899689,"['nvml_timed_energy_counter', 'explicit_m16n16k16_denominator', 'strict_denominator_provenance', 'tensor_loop_only_mov_baseline']",fp16-energy-bench-v2,49152,82,,['telemetry_not_collected: this WSL session blocks background nvidia-smi dmon'],True,32,8,unchecked; no concurrent dmon/NCU telemetry in this WSL session,2,False,fp16-energy-bench-v2,"nvml_timed_energy_counter,explicit_m16n16k16_denominator,strict_denominator_provenance,tensor_loop_only_mov_baseline",197.888,146.08638884395134,nvml_total_energy_counter,nan,nan,,nan,nan,nan,nan,True,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,
ga102,ampere,"RTX 3090/GA102 path uses warp-level HMMA m16n8k16 pairs; board-level power and boost behavior are more variable than datacenter GPUs, so clock stability and no-L2 validation must be checked before using the pJ/bit estimate",5cb1f26c5c1f,results/fp16_launch_shape_warpsync_rtx3090_20260602_direct/raw/launch_shape_tensor_mma_f16acc_t032_b01_rep000_test_1780341022200503614/bench.json,False,82,1,none,8.6,launch_shape_tensor_mma_f16acc_t032_b01,0,5683.3359375,,0,NVIDIA GeForce RTX 3090,591.86,0,37.8225187397,214958080000000,tensor_core_mma_m16n16k16_f16acc,benchmark uses warp-level HMMA mma.sync m16n8k16 pairs,consumer,GPU-6176a2fd-d534-e78c-edd2-78b8db8109b0,1780341055086740489,1780341049304677343,5000000,tensor_mma_f16acc,6291456,256,1,0,0,GPU-6176a2fd-d534-e78c-edd2-78b8db8109b0,0,NVIDIA GeForce RTX 3090,934.649,4051111856,nvmlDeviceGetTotalEnergyConsumption available via CUDA PCI bus id 0000:01:00.0,4050177207,True,,['telemetry_not_collected: this WSL session blocks background GPU telemetry; NVML total energy counter is used'],86,65536,0,8,test,launch_shape_tensor_mma_f16acc_t032_b01_rep000_test_1780341022200503614,1780341055086740489,1780341049304677343,"['nvml_timed_energy_counter', 'explicit_m16n16k16_denominator', 'strict_denominator_provenance', 'tensor_loop_only_mov_baseline']",fp16-energy-bench-v2,49152,82,,['telemetry_not_collected: this WSL session blocks background nvidia-smi dmon'],True,32,8,unchecked; no concurrent dmon/NCU telemetry in this WSL session,2,False,fp16-energy-bench-v2,"nvml_timed_energy_counter,explicit_m16n16k16_denominator,strict_denominator_provenance,tensor_loop_only_mov_baseline",934.649,161.64628029816402,nvml_total_energy_counter,nan,nan,,nan,nan,nan,nan,True,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4096,12288,8192,8192,2,16,26240000000,m16n16k16,16,16,4096,16384
ga102,ampere,"RTX 3090/GA102 path uses warp-level HMMA m16n8k16 pairs; board-level power and boost behavior are more variable than datacenter GPUs, so clock stability and no-L2 validation must be checked before using the pJ/bit estimate",5cb1f26c5c1f,results/fp16_launch_shape_warpsync_rtx3090_20260602_direct/raw/launch_shape_tensor_mma_f16acc_t032_b02_rep000_baseline_1780341022200741956/bench.json,False,164,2,none,8.6,launch_shape_tensor_mma_f16acc_t032_b02,0,1321.8815918,,0,NVIDIA GeForce RTX 3090,591.86,0,0,0,baseline_or_memory,benchmark uses warp-level HMMA mma.sync m16n8k16 pairs,consumer,GPU-6176a2fd-d534-e78c-edd2-78b8db8109b0,1780341062376660864,1780341061032930072,5000000,tensor_baseline_mov,6291456,256,1,0,0,GPU-6176a2fd-d534-e78c-edd2-78b8db8109b0,0,NVIDIA GeForce RTX 3090,203.983,4051722079,nvmlDeviceGetTotalEnergyConsumption available via CUDA PCI bus id 0000:01:00.0,4051518096,True,,['telemetry_not_collected: this WSL session blocks background GPU telemetry; NVML total energy counter is used'],86,65536,0,8,baseline,launch_shape_tensor_mma_f16acc_t032_b02_rep000_baseline_1780341022200741956,1780341062376660864,1780341061032930072,"['nvml_timed_energy_counter', 'explicit_m16n16k16_denominator', 'strict_denominator_provenance', 'tensor_loop_only_mov_baseline']",fp16-energy-bench-v2,49152,82,,['telemetry_not_collected: this WSL session blocks background nvidia-smi dmon'],True,32,8,unchecked; no concurrent dmon/NCU telemetry in this WSL session,2,False,fp16-energy-bench-v2,"nvml_timed_energy_counter,explicit_m16n16k16_denominator,strict_denominator_provenance,tensor_loop_only_mov_baseline",203.983,151.80347225383818,nvml_total_energy_counter,nan,nan,,nan,nan,nan,nan,True,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,
ga102,ampere,"RTX 3090/GA102 path uses warp-level HMMA m16n8k16 pairs; board-level power and boost behavior are more variable than datacenter GPUs, so clock stability and no-L2 validation must be checked before using the pJ/bit estimate",5cb1f26c5c1f,results/fp16_launch_shape_warpsync_rtx3090_20260602_direct/raw/launch_shape_tensor_mma_f16acc_t032_b02_rep000_test_1780341022200940354/bench.json,False,164,2,none,8.6,launch_shape_tensor_mma_f16acc_t032_b02,0,5705.92529297,,0,NVIDIA GeForce RTX 3090,591.86,0,75.3455641156,429916160000000,tensor_core_mma_m16n16k16_f16acc,benchmark uses warp-level HMMA mma.sync m16n8k16 pairs,consumer,GPU-6176a2fd-d534-e78c-edd2-78b8db8109b0,1780341077180893765,1780341071310403993,5000000,tensor_mma_f16acc,6291456,256,1,0,0,GPU-6176a2fd-d534-e78c-edd2-78b8db8109b0,0,NVIDIA GeForce RTX 3090,1065.36,4053434959,nvmlDeviceGetTotalEnergyConsumption available via CUDA PCI bus id 0000:01:00.0,4052369599,True,,['telemetry_not_collected: this WSL session blocks background GPU telemetry; NVML total energy counter is used'],86,65536,0,8,test,launch_shape_tensor_mma_f16acc_t032_b02_rep000_test_1780341022200940354,1780341077180893765,1780341071310403993,"['nvml_timed_energy_counter', 'explicit_m16n16k16_denominator', 'strict_denominator_provenance', 'tensor_loop_only_mov_baseline']",fp16-energy-bench-v2,49152,82,,['telemetry_not_collected: this WSL session blocks background nvidia-smi dmon'],True,32,8,unchecked; no concurrent dmon/NCU telemetry in this WSL session,2,False,fp16-energy-bench-v2,"nvml_timed_energy_counter,explicit_m16n16k16_denominator,strict_denominator_provenance,tensor_loop_only_mov_baseline",1065.36,181.4771920873385,nvml_total_energy_counter,nan,nan,,nan,nan,nan,nan,True,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4096,12288,8192,8192,2,16,52480000000,m16n16k16,16,16,4096,16384
ga102,ampere,"RTX 3090/GA102 path uses warp-level HMMA m16n8k16 pairs; board-level power and boost behavior are more variable than datacenter GPUs, so clock stability and no-L2 validation must be checked before using the pJ/bit estimate",5cb1f26c5c1f,results/fp16_launch_shape_warpsync_rtx3090_20260602_direct/raw/launch_shape_tensor_mma_f16acc_t032_b04_rep000_baseline_1780341022201153795/bench.json,False,328,4,none,8.6,launch_shape_tensor_mma_f16acc_t032_b04,0,1319.74755859,,0,NVIDIA GeForce RTX 3090,591.86,0,0,0,baseline_or_memory,benchmark uses warp-level HMMA mma.sync m16n8k16 pairs,consumer,GPU-6176a2fd-d534-e78c-edd2-78b8db8109b0,1780341084810649873,1780341083464552358,5000000,tensor_baseline_mov,6291456,256,1,0,0,GPU-6176a2fd-d534-e78c-edd2-78b8db8109b0,0,NVIDIA GeForce RTX 3090,219.679,4054063733,nvmlDeviceGetTotalEnergyConsumption available via CUDA PCI bus id 0000:01:00.0,4053844054,True,,['telemetry_not_collected: this WSL session blocks background GPU telemetry; NVML total energy counter is used'],86,65536,0,8,baseline,launch_shape_tensor_mma_f16acc_t032_b04_rep000_baseline_1780341022201153795,1780341084810649873,1780341083464552358,"['nvml_timed_energy_counter', 'explicit_m16n16k16_denominator', 'strict_denominator_provenance', 'tensor_loop_only_mov_baseline']",fp16-energy-bench-v2,49152,82,,['telemetry_not_collected: this WSL session blocks background nvidia-smi dmon'],True,32,8,unchecked; no concurrent dmon/NCU telemetry in this WSL session,2,False,fp16-energy-bench-v2,"nvml_timed_energy_counter,explicit_m16n16k16_denominator,strict_denominator_provenance,tensor_loop_only_mov_baseline",219.679,163.19694342500884,nvml_total_energy_counter,nan,nan,,nan,nan,nan,nan,True,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,
ga102,ampere,"RTX 3090/GA102 path uses warp-level HMMA m16n8k16 pairs; board-level power and boost behavior are more variable than datacenter GPUs, so clock stability and no-L2 validation must be checked before using the pJ/bit estimate",5cb1f26c5c1f,results/fp16_launch_shape_warpsync_rtx3090_20260602_direct/raw/launch_shape_tensor_mma_f16acc_t032_b04_rep000_test_1780341022201353515/bench.json,False,328,4,none,8.6,launch_shape_tensor_mma_f16acc_t032_b04,0,5736.02197266,,0,NVIDIA GeForce RTX 3090,591.86,0,149.900457861,859832320000000,tensor_core_mma_m16n16k16_f16acc,benchmark uses warp-level HMMA mma.sync m16n8k16 pairs,consumer,GPU-6176a2fd-d534-e78c-edd2-78b8db8109b0,1780341100096559408,1780341094272677083,5000000,tensor_mma_f16acc,6291456,256,1,0,0,GPU-6176a2fd-d534-e78c-edd2-78b8db8109b0,0,NVIDIA GeForce RTX 3090,1240.293,4056034109,nvmlDeviceGetTotalEnergyConsumption available via CUDA PCI bus id 0000:01:00.0,4054793816,True,,['telemetry_not_collected: this WSL session blocks background GPU telemetry; NVML total energy counter is used'],86,65536,0,8,test,launch_shape_tensor_mma_f16acc_t032_b04_rep000_test_1780341022201353515,1780341100096559408,1780341094272677083,"['nvml_timed_energy_counter', 'explicit_m16n16k16_denominator', 'strict_denominator_provenance', 'tensor_loop_only_mov_baseline']",fp16-energy-bench-v2,49152,82,,['telemetry_not_collected: this WSL session blocks background nvidia-smi dmon'],True,32,8,unchecked; no concurrent dmon/NCU telemetry in this WSL session,2,False,fp16-energy-bench-v2,"nvml_timed_energy_counter,explicit_m16n16k16_denominator,strict_denominator_provenance,tensor_loop_only_mov_baseline",1240.293,212.9667000096881,nvml_total_energy_counter,nan,nan,,nan,nan,nan,nan,True,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4096,12288,8192,8192,2,16,104960000000,m16n16k16,16,16,4096,16384
ga102,ampere,"RTX 3090/GA102 path uses warp-level HMMA m16n8k16 pairs; board-level power and boost behavior are more variable than datacenter GPUs, so clock stability and no-L2 validation must be checked before using the pJ/bit estimate",5cb1f26c5c1f,results/fp16_launch_shape_warpsync_rtx3090_20260602_direct/raw/launch_shape_tensor_mma_f16acc_t032_b08_rep000_baseline_1780341022201554658/bench.json,False,656,8,none,8.6,launch_shape_tensor_mma_f16acc_t032_b08,0,1391.82592773,,0,NVIDIA GeForce RTX 3090,591.86,0,0,0,baseline_or_memory,benchmark uses warp-level HMMA mma.sync m16n8k16 pairs,consumer,GPU-6176a2fd-d534-e78c-edd2-78b8db8109b0,1780341113365654420,1780341111943191498,5000000,tensor_baseline_mov,6291456,256,1,0,0,GPU-6176a2fd-d534-e78c-edd2-78b8db8109b0,0,NVIDIA GeForce RTX 3090,250.978,4056832870,nvmlDeviceGetTotalEnergyConsumption available via CUDA PCI bus id 0000:01:00.0,4056581892,True,,['telemetry_not_collected: this WSL session blocks background GPU telemetry; NVML total energy counter is used'],86,65536,0,8,baseline,launch_shape_tensor_mma_f16acc_t032_b08_rep000_baseline_1780341022201554658,1780341113365654420,1780341111943191498,"['nvml_timed_energy_counter', 'explicit_m16n16k16_denominator', 'strict_denominator_provenance', 'tensor_loop_only_mov_baseline']",fp16-energy-bench-v2,49152,82,,['telemetry_not_collected: this WSL session blocks background nvidia-smi dmon'],True,32,8,unchecked; no concurrent dmon/NCU telemetry in this WSL session,2,False,fp16-energy-bench-v2,"nvml_timed_energy_counter,explicit_m16n16k16_denominator,strict_denominator_provenance,tensor_loop_only_mov_baseline",250.978,176.43904534757357,nvml_total_energy_counter,nan,nan,,nan,nan,nan,nan,True,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,
ga102,ampere,"RTX 3090/GA102 path uses warp-level HMMA m16n8k16 pairs; board-level power and boost behavior are more variable than datacenter GPUs, so clock stability and no-L2 validation must be checked before using the pJ/bit estimate",5cb1f26c5c1f,results/fp16_launch_shape_warpsync_rtx3090_20260602_direct/raw/launch_shape_tensor_mma_f16acc_t032_b08_rep000_test_1780341022201754987/bench.json,False,656,8,none,8.6,launch_shape_tensor_mma_f16acc_t032_b08,0,11125.84375,,0,NVIDIA GeForce RTX 3090,591.86,0,154.564874237,1719664640000000,tensor_core_mma_m16n16k16_f16acc,benchmark uses warp-level HMMA mma.sync m16n8k16 pairs,consumer,GPU-6176a2fd-d534-e78c-edd2-78b8db8109b0,1780341142705782465,1780341131382689222,5000000,tensor_mma_f16acc,6291456,256,1,0,0,GPU-6176a2fd-d534-e78c-edd2-78b8db8109b0,0,NVIDIA GeForce RTX 3090,2457.401,4060465092,nvmlDeviceGetTotalEnergyConsumption available via CUDA PCI bus id 0000:01:00.0,4058007691,True,,['telemetry_not_collected: this WSL session blocks background GPU telemetry; NVML total energy counter is used'],86,65536,0,8,test,launch_shape_tensor_mma_f16acc_t032_b08_rep000_test_1780341022201754987,1780341142705782465,1780341131382689222,"['nvml_timed_energy_counter', 'explicit_m16n16k16_denominator', 'strict_denominator_provenance', 'tensor_loop_only_mov_baseline']",fp16-energy-bench-v2,49152,82,,['telemetry_not_collected: this WSL session blocks background nvidia-smi dmon'],True,32,8,unchecked; no concurrent dmon/NCU telemetry in this WSL session,2,False,fp16-energy-bench-v2,"nvml_timed_energy_counter,explicit_m16n16k16_denominator,strict_denominator_provenance,tensor_loop_only_mov_baseline",2457.401,217.02559073415551,nvml_total_energy_counter,nan,nan,,nan,nan,nan,nan,True,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4096,12288,8192,8192,2,16,209920000000,m16n16k16,16,16,4096,16384
ga102,ampere,"RTX 3090/GA102 path uses warp-level HMMA m16n8k16 pairs; board-level power and boost behavior are more variable than datacenter GPUs, so clock stability and no-L2 validation must be checked before using the pJ/bit estimate",5cb1f26c5c1f,results/fp16_launch_shape_warpsync_rtx3090_20260602_direct/raw/launch_shape_tensor_mma_f16acc_t064_b01_rep000_baseline_1780341022201948202/bench.json,False,82,1,none,8.6,launch_shape_tensor_mma_f16acc_t064_b01,0,1322.1907959,,0,NVIDIA GeForce RTX 3090,591.86,0,0,0,baseline_or_memory,benchmark uses warp-level HMMA mma.sync m16n8k16 pairs,consumer,GPU-6176a2fd-d534-e78c-edd2-78b8db8109b0,1780341154486479598,1780341153136867539,5000000,tensor_baseline_mov,6291456,256,1,0,0,GPU-6176a2fd-d534-e78c-edd2-78b8db8109b0,0,NVIDIA GeForce RTX 3090,205.29,4061194693,nvmlDeviceGetTotalEnergyConsumption available via CUDA PCI bus id 0000:01:00.0,4060989403,True,,['telemetry_not_collected: this WSL session blocks background GPU telemetry; NVML total energy counter is used'],86,65536,0,8,baseline,launch_shape_tensor_mma_f16acc_t064_b01_rep000_baseline_1780341022201948202,1780341154486479598,1780341153136867539,"['nvml_timed_energy_counter', 'explicit_m16n16k16_denominator', 'strict_denominator_provenance', 'tensor_loop_only_mov_baseline']",fp16-energy-bench-v2,49152,82,,['telemetry_not_collected: this WSL session blocks background nvidia-smi dmon'],True,64,8,unchecked; no concurrent dmon/NCU telemetry in this WSL session,2,False,fp16-energy-bench-v2,"nvml_timed_energy_counter,explicit_m16n16k16_denominator,strict_denominator_provenance,tensor_loop_only_mov_baseline",205.29,152.11037766816514,nvml_total_energy_counter,nan,nan,,nan,nan,nan,nan,True,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,
ga102,ampere,"RTX 3090/GA102 path uses warp-level HMMA m16n8k16 pairs; board-level power and boost behavior are more variable than datacenter GPUs, so clock stability and no-L2 validation must be checked before using the pJ/bit estimate",5cb1f26c5c1f,results/fp16_launch_shape_warpsync_rtx3090_20260602_direct/raw/launch_shape_tensor_mma_f16acc_t064_b01_rep000_test_1780341022202149447/bench.json,False,82,1,none,8.6,launch_shape_tensor_mma_f16acc_t064_b01,0,5735.29980469,,0,NVIDIA GeForce RTX 3090,591.86,0,74.959666389,429916160000000,tensor_core_mma_m16n16k16_f16acc,benchmark uses warp-level HMMA mma.sync m16n8k16 pairs,consumer,GPU-6176a2fd-d534-e78c-edd2-78b8db8109b0,1780341170668848685,1780341164793809151,5000000,tensor_mma_f16acc,6291456,256,1,0,0,GPU-6176a2fd-d534-e78c-edd2-78b8db8109b0,0,NVIDIA GeForce RTX 3090,1049.639,4062941280,nvmlDeviceGetTotalEnergyConsumption available via CUDA PCI bus id 0000:01:00.0,4061891641,True,,['telemetry_not_collected: this WSL session blocks background GPU telemetry; NVML total energy counter is used'],86,65536,0,8,test,launch_shape_tensor_mma_f16acc_t064_b01_rep000_test_1780341022202149447,1780341170668848685,1780341164793809151,"['nvml_timed_energy_counter', 'explicit_m16n16k16_denominator', 'strict_denominator_provenance', 'tensor_loop_only_mov_baseline']",fp16-energy-bench-v2,49152,82,,['telemetry_not_collected: this WSL session blocks background nvidia-smi dmon'],True,64,8,unchecked; no concurrent dmon/NCU telemetry in this WSL session,2,False,fp16-energy-bench-v2,"nvml_timed_energy_counter,explicit_m16n16k16_denominator,strict_denominator_provenance,tensor_loop_only_mov_baseline",1049.639,178.66075520437508,nvml_total_energy_counter,nan,nan,,nan,nan,nan,nan,True,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4096,12288,8192,8192,2,16,52480000000,m16n16k16,16,16,4096,16384
